School,Address,Latitude,Longitude
P.S. 053 Bay Terrace,"330 DURANT AVENUE STATEN ISLAND, NY 10308",40.552129,-74.137382
P.S. 054 Charles W. Leng,"1060 WILLOWBROOK ROAD STATEN ISLAND, NY 10314",40.603084,-74.137706
P.S. 055 Henry M. Boehm,"54 OSBORNE STREET STATEN ISLAND, NY 10312",40.536556,-74.163617
P.S. 056 Norwood Heights,"341 EAST 207 STREET BRONX, NY 10467",40.87526,-73.875041
P.S. 057 Crescent,"2111 CROTONA AVENUE BRONX, NY 10457",40.848646,-73.888836
P.S. 057 Hubert H. Humphrey,"140 PALMA DRIVE STATEN ISLAND, NY 10304",40.611392,-74.083375
P.S. 058,"459 EAST 176 STREET BRONX, NY 10457",40.846109,-73.898846
P.S. 059 The Community School of Technology,"2185 BATHGATE AVENUE BRONX, NY 10457",40.85306,-73.893421
P.S. 060 Alice Austen,"55 MERRILL AVENUE STATEN ISLAND, NY 10314",40.61038,-74.162688
P.S. 060 Woodhaven,"91-02 88 AVENUE QUEENS, NY 11421",40.691967,-73.852964
P.S. 062 Chester Park,"97-25 108 STREET QUEENS, NY 11419",40.688636,-73.836029
P.S. 062 Inocensio Casanova,"660 FOX STREET BRONX, NY 10455",40.813974,-73.900256
P.S. 063 Author's Academy,"1260 FRANKLIN AVENUE BRONX, NY 10456",40.831071,-73.902272
P.S. 064 Robert Simon,"600 EAST 6 STREET MANHATTAN, NY 10009",40.724233,-73.981387
P.S. 066 School of Higher Expectations,"1001 JENNINGS STREET BRONX, NY 10460",40.831216,-73.886725
P.S. 067 Charles A. Dorsey,"51 SAINT EDWARDS STREET BROOKLYN, NY 11205",40.695251,-73.978039
P.S. 067 Mohegan School,"2024 MOHEGAN AVENUE BRONX, NY 10460",40.844001,-73.884536
P.S. 069 Daniel D. Tompkins,"144 KEATING PLACE STATEN ISLAND, NY 10314",40.590978,-74.157467
P.S. 069 Jackson Heights,"77-02 37 AVENUE QUEENS, NY 11372",40.749102,-73.888502
P.S. 070 Max Schoenfeld,"1691 WEEKS AVENUE BRONX, NY 10457",40.844395,-73.907769
P.S. 071 Rose E. Scala,"3040 ROBERTS AVENUE BRONX, NY 10461",40.845672,-73.829743
P.S. 072 Dr. William Dorney,"2951 DEWEY AVENUE BRONX, NY 10465",40.822896,-73.818002
P.S. 075 Mayda Cortiella,"95 GROVE STREET BROOKLYN, NY 11221",40.693102,-73.921042
P.S. 076 A. Philip Randolph,"220 WEST 121 STREET MANHATTAN, NY 10027",40.806711,-73.951244
P.S. 076 The Bennington School,"900 ADEE AVENUE BRONX, NY 10469",40.868653,-73.861171
P.S. 078 Anne Hutchinson,"1400 NEEDHAM AVENUE BRONX, NY 10469",40.878652,-73.85071
P.S. 081 Thaddeus Stevens,"990 DEKALB AVENUE BROOKLYN, NY 11221",40.6931,-73.935299
P.S. 083 Donald Hertz,"1840 BOGART AVENUE BRONX, NY 10462",40.848626,-73.858675
P.S. 083 Luis Munoz Rivera,"219 EAST 109 STREET MANHATTAN, NY 10029",40.793089,-73.942005
P.S. 084 Jose De Diego,"250 BERRY STREET BROOKLYN, NY 11211",40.714841,-73.96313
P.S. 085 Judge Charles Vallone,"23-70 31 STREET QUEENS, NY 11105",40.773009,-73.914843
P.S. 086 Kingsbridge Heights,"2756 RESERVOIR AVENUE BRONX, NY 10468",40.870024,-73.898207
P.S. 086 The Irvington,"220 IRVING AVENUE BROOKLYN, NY 11237",40.700748,-73.91766
P.S. 089 Bronx,"980 MACE AVENUE BRONX, NY 10469",40.862848,-73.859238
P.S. 091 Bronx,"2170 AQUEDUCT AVENUE BRONX, NY 10453",40.857453,-73.90844
P.S. 091 The Albany Avenue School,"532 ALBANY AVENUE BROOKLYN, NY 11203",40.661837,-73.940141
P.S. 092 Adrian Hegeman,"601 PARKSIDE AVENUE BROOKLYN, NY 11226",40.656129,-73.954114
P.S. 093 Albert G. Oliver,"1535 STORY AVENUE BRONX, NY 10473",40.82197,-73.87701
P.S. 094 The Henry Longfellow,"5010 6 AVENUE BROOKLYN, NY 11220",40.618856,-73.926433
P.S. 095 Sheila Mencher,"3961 HILLMAN AVENUE BRONX, NY 10463",40.882946,-73.891441
P.S. 095 The Gravesend,"345 VAN SICKLEN STREET BROOKLYN, NY 11223",40.595588,-73.975038
P.S. 096 Joseph Lanzetta,"216 EAST 120 STREET MANHATTAN, NY 10035",40.799919,-73.937027
P.S. 097 Bronx,"1375 MACE AVENUE BRONX, NY 10469",40.863072,-73.846947
P.S. 097 Forest Park,"85-52 85 STREET QUEENS, NY 11421",40.694278,-73.859781
P.S. 098 Shorac Kappock,"512 WEST 212 STREET MANHATTAN, NY 10034",40.86793,-73.917668
P.S. 099 Isaac Asimov,"1120 EAST 10 STREET BROOKLYN, NY 11230",40.621562,-73.965758
P.S. 100 Glen Morris,"111-11 118 STREET QUEENS, NY 11420",40.67991,-73.821875
P.S. 100 Isaac Clason,"800 TAYLOR AVENUE BRONX, NY 10473",40.82186,-73.862933
P.S. 100 The Coney Island School,"2951 WEST 3 STREET BROOKLYN, NY 11224",40.577592,-73.971101
P.S. 101 The Verrazano,"2360 BENSON AVENUE BROOKLYN, NY 11214",40.597618,-73.991725
P.S. 102 The Bayview,"211 72 STREET BROOKLYN, NY 11209",40.63412,-74.028992
P.S. 103 Hector Fontanez,"4125 CARPENTER AVENUE BRONX, NY 10466",40.892245,-73.861622
P.S. 104 The Bays Water,"26-01 MOTT AVENUE QUEENS, NY 11691",40.6082,-73.764899
P.S. 105 Sen Abraham Bernstein,"725 BRADY AVENUE BRONX, NY 10462",40.852585,-73.866448
P.S. 105 The Blythebourne,"1031 59 STREET BROOKLYN, NY 11219",40.633114,-74.003671
P.S. 106 Edward Everett Hale,"1328 PUTNAM AVENUE BROOKLYN, NY 11221",40.693885,-73.912909
P.S. 107 Thomas A Dooley,"167-02 45 AVENUE QUEENS, NY 11358",40.755816,-73.799423
P.S. 107,"1695 SEWARD AVENUE BRONX, NY 10473",40.818661,-73.868441
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,"1615 MADISON AVENUE MANHATTAN, NY 10029",40.795154,-73.948165
P.S. 108 Sal Abbracciamento,"200 LINWOOD STREET BROOKLYN, NY 11208",40.681298,-73.884185
P.S. 109 Sedgwick,"1771 POPHAM AVENUE BRONX, NY 10453",40.85153,-73.918631
P.S. 11 Thomas Dongan School,"51 JEFFERSON STREET STATEN ISLAND, NY 10304",40.590678,-74.09785
P.S. 110 Theodore Schoenfeld,"580 CROTONA PARK SOUTH BRONX, NY 10456",40.835096,-73.900477
P.S. 111 Adolph S. Ochs,"440 WEST 53 STREET MANHATTAN, NY 10019",40.766005,-73.989356
P.S. 111 Jacob Blackwell,"37-15 13 STREET QUEENS, NY 11101",40.7586,-73.939373
P.S. 111 Seton Falls,"3740 BAYCHESTER AVENUE BRONX, NY 10466",40.884555,-73.840005
P.S. 112 Bronxwood,"1925 SCHIEFFELIN AVENUE BRONX, NY 10466",40.884875,-73.843676
P.S. 112 Jose Celso Barbosa,"535 EAST 119 STREET MANHATTAN, NY 10035",40.796557,-73.930451
P.S. 115 Alexander Humboldt,"586 WEST 177 STREET MANHATTAN, NY 10033",40.846436,-73.935199
P.S. 115 Daniel Mucatel School,"1500 EAST 92 STREET BROOKLYN, NY 11236",40.634816,-73.8974
